Категория,Уровень (L1/L2/L3),Приоритет,Метрика,Важность,Как улучшать,Ловушки,Частота,Формула / Определение,Числитель,Знаменатель,Owner,Bench: Tier-1 (EU/AU),Bench: LatAm/CIS,Bench: India/SEA,Alert (Red),Alert (Yellow),Источник данных,Зависимости,Разрезы (теги)
Revenue,L1,Must,Turnover / Handle,"Общий объём принятых ставок, это масштаб бизнеса. По сути, сколько денег игроки «прокрутили» через платформу. Из этого объёма потом считается GGR (валовый доход). Нет оборота, нет выручки","1) Расширять линейку игр и слотов с высокой частотой раундов, чем чаще крутят, тем больше оборот
2) Растить активную базу через привлечение и удержание
3) Поднимать лимиты ставок для VIP-сегмента
4) Добавлять лайв-казино и лайв-ставки: они увеличивают оборот в 2-3 раза за счёт динамики","1) Большой оборот не значит большая прибыль: игрок может прокручивать бонусные деньги, а оператор с этого получает ноль GGR
2) Оборот сильно зависит от набора игр: слоты с высоким RTP (процентом возврата) дают большой оборот, но маленький процент удержания
3) Сравнивать оборот между странами без привязки к среднему депозиту бессмысленно, в Индии и Европе порядки разные",Daily,Сумма всех принятых ставок (sportsbook + casino),Sum of all bets placed,—,Product,~$1M–50M/mo (depends on scale),~$300K–15M/mo,~$100K–5M/mo,Drop >25% WoW,Drop >15% WoW,Betting Engine + Game Aggregator,,"ГЕО, канал, продукт"
Revenue,L1,Must,GGR,Валовый игровой доход (Gross Gaming Revenue): главный показатель дохода до вычетов. Простыми словами: сколько денег игроки проиграли оператору. Это отправная точка для всей экономики бизнеса,"1) Растить количество играющих (PAU) через привлечение и удержание
2) Подбирать набор игр так, чтобы средний процент удержания был выше
3) Увеличивать средний депозит через удобный UX и работу с продуктом
4) Делать кросс-продажи казино↔спорт, чтобы игрок тратил больше внутри одной платформы","1) GGR растёт, а NGR (чистый доход) падает, значит бонусы и комиссии съедают маржу. Всегда смотреть эти две метрики в паре
2) GGR по когортам (группам игроков по дате регистрации) показывает реальную картину, а общий GGR за месяц может скрывать деградацию базы
3) В спортсбуке GGR прыгает из-за крупных событий (чемпионат мира, финалы лиг), это нормальная волатильность",Daily,Gross Gaming Revenue = Wager − Payouts,Wager,Payouts (вычитается),Product,"Casino hold 3–5%, Sports 6–8%, WoW growth >0%","Casino hold 3–5%, Sports 5–7%, WoW growth >0%","Casino hold 3–5%, Sports 4–6%, WoW growth >0%",Drop >15% WoW,Drop >10% WoW,BI,"Turnover / Handle, Payouts","ГЕО, канал, продукт, сегмент"
Revenue,L1,Must,GGR Margin / Hold %,"Процент удержания, сколько от каждой ставки остаётся оператору. По сути, это эффективность монетизации. Если hold% = 5%, значит с каждых $100 ставок оператор зарабатывает $5. Определяет юнит-экономику всего бизнеса","1) Смещать набор игр в сторону тех, где процент удержания выше среднего
2) В спортсбуке: настраивать маржу (overround), управлять наценкой по типу ставки (лайв vs до матча)
3) Контролировать RTP (процент возврата игроку) по провайдерам через дашборд агрегатора
4) Ограничивать доступ к играм с высоким RTP для бонусных денег (через веса вклада игр в отыгрыш)","1) Процент удержания казино (3-5%) и спорта (5-8%) нельзя сравнивать, это разные продукты с разной природой
2) На коротком периоде (менее 1000 раундов) отклонения до ±3 процентных пунктов, это нормальная статистическая дисперсия, не повод паниковать
3) Попытка поднять hold% за счёт снижения RTP ведёт к оттоку опытных игроков и негативным отзывам, игроки чувствуют и понимают разницу",Daily,GGR / Total Wager × 100%,GGR,Total Wager,Product,"Casino 3–5%, Sports 6–8%","Casino 3–5%, Sports 5–7%","Casino 3–5%, Sports 5–7%",<2% casino,<3% casino,BI,"GGR, Total Wager (Casino)","ГЕО, продукт"
Revenue,L1,Must,NGR,"Чистый игровой доход (Net Gaming Revenue), это то, что реально остаётся бизнесу: GGR минус бонусы, комиссии провайдеров, платёжные сборы, налоги. Единственная честная метрика дохода. GGR, красивая цифра, NGR, правда","1) Растить GGR при контроле расходов на бонусы (ориентир: бонусы = 10-20% от GGR)
2) Пересматривать контракты с провайдерами (доля дохода обычно 10-15% от GGR, при объёмах можно торговаться)
3) Оптимизировать маршрутизацию платежей для снижения комиссий
4) Переходить от массовых бонусов к точечным по сегментам, меньше расход, тот же эффект","1) NGR может уйти в минус при агрессивном приветственном бонусе: считать юнит-экономику по когортам, а не по месяцу
2) Если в формулу NGR не включены расходы на партнёров (affiliate costs): реальная прибыль завышена. Важно зафиксировать, что именно входит в расчёт
3) Сезонные просадки NGR (между чемпионатами, праздники), не проблема, если когорты стабильны",Daily,GGR − Bonus Cost − Provider Fees − Payment Fees − Taxes,GGR,Все удержания (вычитаются),Finance,"Track WoW/MoM, NGR margin 25–35%","Track WoW/MoM, NGR margin 20–30%","Track WoW/MoM, NGR margin 15–25%",NGR <0 for a day,NGR margin <20%,BI,"GGR, Bonus Cost (Absolute), Payment Fees","ГЕО, канал, продукт, сегмент"
Revenue,L1,Must,NGR Margin,"Показывает, сколько процентов от оборота реально остаётся бизнесу после всех вычетов. По сути, «толщина подушки безопасности». Определяет, можно ли масштабироваться или бизнес работает на грани","1) Снижать расходы на бонусы через умный таргетинг и оптимизацию условий отыгрыша
2) Оптимизировать маршрутизацию платежей: PIX/UPI дешевле карт, крипта дешевле фиата
3) Пересматривать долю провайдеров при росте объёмов
4) Налоговая оптимизация через структуру юрлиц (обязательно с юристами)","1) NGR маржа ниже +/-15%, бизнес работает на грани (зависит от формата продукта), нет запаса на ошибки и эксперименты
2) Маржа сильно различается по странам: к примеру в Бразилии с налогом 12% на GGR маржа сжимается на 10+ процентных пунктов
3) Низкая маржа при растущем NGR допустима на стадии захвата рынка, но не как постоянное состояние, иначе бизнес просто не зарабатывает",Weekly,NGR / Total Wager × 100%,NGR,Total Wager,Finance,25–35%,20–30%,15–25%,NGR margin <15%,NGR margin <20%,BI,"NGR, Total Wager (Casino)","ГЕО, продукт"
Revenue,L1,Must,Contribution Margin,"Маржа вклада, прибыль после вычета всех переменных расходов (поддержка, верификация, фрод). Показывает масштабируемость: если бизнес растёт, CM должен расти пропорционально. Нет? Значит что-то жрёт маржу","1) Автоматизировать верификацию (KYC) через OCR и API, снижает стоимость с ~$2 до ~$0.3 на игрока
2) Внедрить чат-бот для первой линии поддержки, снижает нагрузку на агентов на 30-40%
3) Снизить потери от фрода через отпечатки устройств и поведенческий скоринг
4) Оптимизировать затраты по сегментам: VIP получают персональный сервис, массовый сегмент, автоматизацию","1) Маржа вклада, это не чистая прибыль: не учитывает постоянные расходы (офис, зарплаты, лицензии)
2) CM может быть положительным по всей базе, но отрицательным по новым когортам, это нормально в первые месяцы (срок окупаемости)
3) Не все переменные расходы легко привязать к конкретному сегменту: общая команда поддержки обслуживает всех",Monthly,"NGR − Variable OpEx (support, KYC, fraud) по игроку/сегменту",NGR,Variable costs (вычитаются),Finance,>20% of NGR,>15% of NGR,>10% of NGR,CM <0 per segment,CM <10% per segment,BI,"NGR, Chargeback Loss, Fraud Loss, NGR Margin","ГЕО, канал, сегмент"
Revenue,L1,Must,Revenue Concentration,"Метрика риска: насколько доход зависит от узкой группы крупных игроков (китов). В норме топ-1% игроков = 20-40% GGR. Если больше, бизнес сидит на пороховой бочке: уйдёт один кит, и месяц провален","1) Развивать средний сегмент через программы лояльности и турниры, создавать «средний класс» игроков
2) Диверсифицировать продукт (казино + спорт + мини-игры)
3) Расширять географию, чтобы снижать концентрацию по странам
4) Проактивно удерживать существующих китов через VIP-программу","1) Уход одного кита при концентрации >50%, это заметная дыра в месячной выручке
2) Нулевая концентрация невозможна и не нужна: в iGaming распределение доходов по природе неравномерное (закон Парето)
3) Концентрация дохода ≈ концентрация риска. Обязательно отслеживать вместе с оттоком VIP",Monthly,Доля топ 1% / 5% / 10% игроков в GGR,GGR от топ N% игроков,Total GGR,Product / Risk,Top 1% = 20–35% GGR,Top 1% = 25–40% GGR,Top 1% = 30–50% GGR,>60% from top 1%,>50% from top 1%,BI,GGR,"ГЕО, продукт"
Revenue,L2,Should,Total Wager (Casino),"Объём ставок в казино, показывает аппетит базы к игре и является числителем для расчёта GGR казино. Чем больше крутят, тем больше зарабатывает оператор","1) Оптимизировать лобби: персонализация, избранные игры, A/B-тесты расположения
2) Бонусы на слоты с высоким процентом удержания (но не в ущерб игровому опыту)
3) Турниры и таблицы лидеров стимулируют дополнительные ставки
4) Автоспин и турбо-режим увеличивают количество раундов за сессию","1) Объём ставок раздувается бонусными деньгами: обязательно считать ставки на реальные деньги отдельно
2) Рост ставок при падении уникальных игроков, значит всё держится на китах, а не на здоровой базе
3) В LatAm и SEA средняя ставка в 5-10 раз ниже, чем в Европе, сравнивать напрямую нельзя",Daily,Сумма всех ставок казино (Bets Sum),Sum of all casino wagers,—,Product,~$500K–30M/mo,~$200K–10M/mo,~$50K–3M/mo,Drop >25% WoW,Drop >15% WoW,Game Aggregator,Rounds / Spins / Hands,"Провайдер, игра, сегмент"
Revenue,L2,Should,Payouts,"Контроль выплат определяет баланс между прибыльностью и игровым опытом. Выплаты слишком маленькие, игроки уходят. Слишком большие, оператор в убытке. Это тонкая настройка, а не рубильник","1) Балансировать набор игр по RTP (93-96% для слотов, нормальный диапазон)
2) Управлять максимальными лимитами выигрыша в бонусных механиках
3) Настраивать отчисления в джекпот (jackpot contribution rates)
4) Мониторить фактический RTP vs теоретический по каждому провайдеру","1) Нельзя бесконечно оптимизировать выплаты вниз: удержание на 7-й день напрямую коррелирует с тем, выиграл ли игрок в первой сессии
2) Один крупный джекпот может сдвинуть показатель выплат на месяц вперёд, это не системная проблема
3) Выплаты по бонусным ставкам нужно учитывать отдельно, чтобы корректно считать GGR",Daily,Сумма выплат игрокам (Bets Wins),Sum of all payouts,—,Product,"93–96% RTP (slots), 92–95% (table)",93–96% RTP,93–96% RTP,Actual RTP > Theoretical +2pp,Actual RTP > Theoretical +1pp,Game Aggregator,"Total Wager (Casino), RTP (Theoretical vs Actual)","Провайдер, продукт"
Revenue Dynamics,L1,Must,Net NGR Growth Rate,"Скорость роста чистого дохода, главная стратегическая метрика. Инвесторы смотрят на неё в первую очередь, бизнес планирует от неё","1) Декомпозировать рост: новые игроки + расширение от существующих − сокращение − отток. Без декомпозиции непонятно, откуда рост
2) Фокус на удержание: удерживать дешевле, чем привлекать
3) Растить доход с существующей базы через персонализацию и кросс-продажи
4) Оптимизировать каналы привлечения по качеству, а не по объёму","1) Рост за счёт одной страны или канала, хрупкий: канал может подорожать, страну могут закрыть регуляторно
2) Темп роста NGR без декомпозиции скрывает источник: новые игроки или существующая база?
3) Месячный темп роста прыгает из-за сезонности (спортивные события, праздники): смотреть квартальный тренд",Monthly,Рост NGR с разложением на компоненты: New + Reactivated − Churned − Contraction. Аналог Net MRR Growth для iGaming,(New player NGR + Reactivated NGR − Churned NGR − Downtrade NGR) / Previous period NGR,—,Product / Finance,">3% MoM (mature), >10% (growth)",>5% MoM,>8% MoM,<0% (NGR shrinking),0−2%,BI,NGR,"ГЕО, продукт"
